Total-videos,File,Created,Modified,Total-views,Total-likes,Total-comments,Total-video-length,Average-video-length,Videos-with-geolocation,Videos-with-recordingDate,Videos-with-tags,Videos-with-localizations,Videos-with-content-rating,Videos-with-region-restriction,Videos-with-comments-disabled,Videos-with-likes-disabled,Videos-with-views-disabled,Videos-considered-livestreams,Videos-creativeCommon,Videos-with-madeForKidstrue,criado-em,tema,titulo,contexto,created,updated,location,tagscanal,temacanal,monetized,tipo,vinteresse
125,03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ MAS SP - Museu de Arte Sacra de São Paulo.md,2023-03-08T09:34:52.014-03:00,2023-03-13T08:07:13.806-03:00,106934,6148,471,"2 dias, 2 horas, 6 minutos, 26 segundos",PT24M3S,2,3,80,3,0,1,0,0,0,18,0,1,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,MAS SP - Museu de Arte Sacra de São Paulo,Pesquisa TCC pós,2023-03-08 09:39,2023-03-13 08:07,"-23.5303179,-46.6312159","Museu de Arte Sacra,arte sacra,MAS,museu,museus,museu de arte sacra,Ricardo Van Steen,Exposição,exposição,encontro,Yoga no Jardim,Yoga Iniciante,Arte Sacra,semana nacional de museus,rede paulista","Institucional,Museu",false,#importante #canalinstitucional/publico,4
16,03. Acervos/Acervo Conservação-Restauração/; 2023-03-02 - 🗨️ Rafael Albani.md,2023-03-02T18:57:16.347-03:00,2023-03-13T08:08:19.082-03:00,1762349,9199,731,"2 horas, 13 minutos, 48 segundos",PT8M21S,1,2,15,0,0,0,0,0,0,0,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Rafael Albani,Pesquisa TCC pós,2023-03-02 18:58,2023-03-13 08:08,"-29.3745686,-50.876435","de,Holy Mary,Catholic,Christ,Jesus,Christianity,Pope,Portugal,Maria,covid19,Ao Vivo,Mim,Niterói,Forfun",Religião,false,#canalreligião,1
3,03. Acervos/Acervo Conservação-Restauração/; 2023-03-10 - 🗨️ Eduardo Petrella.md,2023-03-10T16:45:20.248-03:00,2023-03-13T08:08:08.747-03:00,88,0,0,"6 minutos, 53 segundos",PT2M17S,0,0,1,0,0,0,0,0,0,0,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Eduardo Petrella,Pesquisa TCC pós,2023-03-10 16:46,2023-03-13 08:08,,"ciclista,bicicleta,reportagem",Jornalismo,false,#canaljornalismo,1
19979,03. Acervos/Acervo Conservação-Restauração/; 2023-03-07 - 🗨️ TV Brasil.md,2023-03-07T15:19:33.319-03:00,2023-03-13T08:07:23.958-03:00,26189336,750688,30928,"2 meses, 1 semana, 4 dias, 10 horas, 15 minutos, 37 segundos",PT5M13S,0,0,19907,19727,15,11,6677,0,0,2139,0,10,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,TV Brasil,Pesquisa TCC pós,2023-03-07 15:20,2023-03-13 08:07,,"TV Brasil,EBC,TV Pública,eleições 2022,previsão do tempo,covid-19,notícias,política,economia,saúde,cotidiano,esporte,telejornal,Repórter Rio,informação",Jornalismo,false,#canaljornalismo,12
19931,03. Acervos/Acervo Conservação-Restauração/; 2023-03-06 - 🗨️ TV Correio.md,2023-03-06T15:50:33.218-03:00,2023-03-13T08:08:03.435-03:00,4212737,9626,6142,"2 meses, 1 semana, 6 dias, 12 horas, 8 minutos, 41 segundos",PT5M22S,0,27,19926,1,34,40,24,19908,0,166,3,140,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,TV Correio,Pesquisa TCC pós,2023-03-06 15:51,2023-03-13 08:08,"Paraíba,João Pessoa,Campina Grande","TV Correio,Paraíba,João Pessoa,Afiliada Record,SomosComoVocê,Programa,Notícias,TV,Fatos policiais,Entrevistas,Televisão,Campina Grande,Fatos políticos,Correio Debate,Hermes de Luna",Jornalismo,true,#canaljornalismo,1
18511,03. Acervos/Acervo Conservação-Restauração/; 2023-03-02 - 🗨️ William Amorim.md,2023-03-02T16:51:52.537-03:00,2023-03-13T08:07:17.899-03:00,18928595,419909,31496,"1 mês, 2 semanas, 5 dias, 23 horas, 57 minutos, 38 segundos",PT3M58S,0,0,95,12366,14,1,60,0,0,3,0,4,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,William Amorim,Pesquisa TCC pós,2023-03-02 16:53,2023-03-13 08:07,Maranhão,"Gospel,gospel,Música gospel,Jornal do Maranhão,Betel,Maranhão,Notícias do Maranhão,São Luís,igreja,Estado do Maranhão,Louvor,Igreja,Ma news,News ma,Festa da igreja",Jornalismo,false,#canaljornalismo,4
9167,03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ Superior Tribunal de Justiça (STJ).md,2023-03-08T19:16:18.086-03:00,2023-03-13T08:06:25.959-03:00,11107283,242966,7137,"5 meses, 3 semanas, 5 dias, 6 horas, 13 minutos, 10 segundos",PT28M9S,0,8,8957,1404,0,10,412,1,13,1204,6987,2,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Superior Tribunal de Justiça (STJ),Pesquisa TCC pós,2023-03-08 19:17,2023-03-13 08:06,,"stj,direito,tribunal,superior,justiça,lei,cidadania,judiciário,de,jurisprudência,brasil,TV Justiça,Jornal da Justiça,tv justiça,cidadão",Institucional,false,#canalinstitucional/publico,1
954,03. Acervos/Acervo Conservação-Restauração/; 2023-03-10 - 🗨️ Agência FAPESP.md,2023-03-10T16:25:50.744-03:00,2023-03-13T08:07:13.118-03:00,3875666,107156,3503,"3 semanas, 4 horas, 40 minutos, 48 segundos",PT31M59S,0,0,630,3,1,0,5,0,0,372,0,3,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Agência FAPESP,Pesquisa TCC pós,2023-03-10 16:26,2023-03-13 08:07,,"FAPESP,pesquisa,fapesp,USP,coronavírus,Fundação de Amparo à Pesquisa do Estado de São Paulo,usp,ciência,vacina,são paulo,coronavac,butantan,vacinasim,paulo artaxo,artaxo",Institucional,false,#canalinstitucional/publico,1
937,03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ Fundação Joaquim Nabuco.md,2023-03-08T13:09:42.973-03:00,2023-03-13T08:06:25.713-03:00,454047,20427,1139,"2 semanas, 6 dias, 7 horas, 9 minutos, 18 segundos",PT31M11S,14,13,124,671,1,12,24,11,0,300,0,50,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Fundação Joaquim Nabuco,Pesquisa TCC pós,2023-03-08 13:10,2023-03-13 08:06,"-8.0307569,-34.9250773","Fundaj,Fundação Joaquim Nabuco,fundaj,Muhne,Museu,Gilberto Freyre,Seminário,hangoutsonair,Hangouts On Air,hoa,Museu do Homem do Nordeste,João Cabral de Melo Neto,Casa-Grande Severina,fundação Joaquim Nabuco,fundação joaquim nabuco",Institucional,false,#canalinstitucional/publico,7
18192,03. Acervos/Acervo Conservação-Restauração/; 2023-03-09 - 🗨️ Câmara dos Deputados.md,2023-03-09T16:21:47.008-03:00,2023-03-13T08:06:22.096-03:00,72616254,2128136,258971,"1 ano, 11 meses, 1 dia, 8 horas, 48 minutos, 45 segundos",PT55M35S,5,12,18149,14464,2,14,4,0,0,10356,0,4,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Câmara dos Deputados,Pesquisa TCC pós,2023-03-09 16:23,2023-03-13 08:06,,"câmara dos deputados,deputados federais,congresso nacional,camara federal,Câmara dos deputados,Política,pandemia,coronavirus,covid-19,covid,rádio câmara,ao vivo,democracia,plenário,votações",Institucional,false,#canalinstitucional/publico,12